'ACU Parameter Dump - Legacy Mode
'CMD	Value	Result	Description
'DAC 2202 VER 6.12  
'SY@@@L1798 @g
mA	255	'*
mB	253	'-000.3	El Trim
mC	255	'*
mD	240	'-001.6	Az Trim
mE	064	'064	Mode
mF	020	'020	Auto Thrs
mG	000	'000	El Step Size
mH	000	'000	Az Step Size
mI	000	'000	Step Integral
mJ	010	'010	Search Inc
mK	100	'100	Search Limit
mL	030	'030	Search Delay
mM	000	'000	Sweep Inc
mN	069	'069	System Type
mO	002	'002	Gyro Type
mP	009	'009	Polang Type
mQ	030	'030	Pol Offset
mR	090	'090	Pol Scale
mS	000	'*
mT	000	'000.0	Az Limit1
mU	000	'*
mV	000	'000.0	Az Limit2
mW	004	'004	Pol Tx
mX	000	'000	Error Type
mY	000	'*
mZ	000	'000.0	Az Limit3
m[	000	'*
m\	000	'000.0	Az Limit4
m]	000	'*
m^	000	'000.0	Az Limit5
m_	000	'*
m`	000	'000.0	Az Limit6
ma	165	'165	Init Hdg
mb	001	'*
mc	189	'044.5	Lat  
md	078	'N	Lat N/S
me	004	'*
mf	227	'125.1	Lon  
mg	087	'W	Lon E/W
mh	007	'*
mi	008	'180.0	Sat Lon
mj	168	'E	Sat E/W
mk	002	'*
ml	164	'112.7	Lcl HDG
mm	004	'*
mn	102	'112.6	Rmt HDG
mo	006	'*
mp	097	'1633	THRS
mq	003	'*
mr	254	'1022	Freq/MHz
ms	038	'*
mt	128	'9856/0616  Baud/KHz
mu	118	'118	FEC/T/V
mv	004	'004	Pol Sel
mw	112	'*
mx	143	'1801	AGC
my	007	'*
mz	128	'0120	Ext AGC
m{	000	'*
m|	000	'0000	Rem POL
m}	000	'*
m~	000	'0	Target NID
m	032	'032	DispT
mÄ	000	'000	KuDisp
mÅ	000	'000	TDisp
mÇ	000	'*  	5v Offset
mÉ	000	'000.0	Az Limit7 / 5v Scale
mÑ	000	'*
mÖ	000	'000.0	Az Limit8
mÜ	180	'090	El Limit12
má	180	'090	El Limit34
mà	180	'090	El Limit56
mâ	180	'090	El Limit78
mä	000	'000	SatSkew
' 9797b VER 2.14 
'SZH@µ
n0	211	'211	Systyp
n1	050	'050	CL Kp
n2	050	'050	LV Kp
n3	050	'050	AZ Kp
n4	000	'000	CL Trim
n5	000	'000	LV Trim
n6	000	'000	HF Trim
n7	133	'133	DishScan
n8	016	'016	Scan Rate
n9	000	'000	Error
n:	010	'010	Sys ID
n;	001	'001	Stat1
'Comm IF Ver 1.20 Port  M&C (C)
